row,col,value
1249,152,0
1253,162,0
1262,185,0
1314,259,0
1322,4325,0
1339,292,0
1360,4330,0
1380,4330,0
1381,4330,0
1400,4328,0
1406,4327,0
1454,4314,0
1464,4311,0
1477,4312,0
1485,4313,0
1495,450,8.18999958
1542,4314,0
1550,448,9.02999973
1561,4313,0
1563,437,10.1099997
1569,432,7.33599997
1579,4312,0
1581,423,7.38700008
1586,373,8.27600002
1586,374,8.34150028
1586,392,7.4920001
1587,349,8.49300003
1587,361,8.42599964
1593,278,9.86999989
1595,271,9.9829998
1603,249,9.36753368
1613,229,9.20499992
1620,4318,0
1624,212,9.76200008
1630,204,9.04599953
1637,4324,0
1662,172,9.43299961
1670,166,10.5839996
1682,158,11.3030005
1702,4375,0
1707,145,17.7759991
1717,141,19.5629997
1729,137,27.5559998
1740,134,29.0009995
1749,132,28.9179993
1751,4395,0
1762,130,27.9680004
1772,129,27.6170006
1815,4401,0
1832,133,38.1069984
1848,137,40.9350014
1862,4392,0
1868,4390,0
1870,140,51.8380013
1876,4387,0
1883,4384,0
1899,4376,0
1901,137,26.4880009
1908,137,23.7180004
1909,137,23.4740009
1909,4370,0
1922,4361,0
1925,138,21.4500008
1945,141,19.4029999
1961,4322,0
1966,4315,0
1970,4309,0
2015,170,21.0690002
2046,4313,0
2056,206,0
2078,236,13.651
2086,4332,0
2102,230,15.2950001
2118,221,15.323
2120,220,14.6000004
2122,219,14.1440001
2135,213,15.2019997
2140,4348,0
2149,207,18.1919994
2151,4350,0
2153,205,20.3220005
2158,4351,0
2168,4352,0
2170,195,28.0459995
2178,191,27.0739994
2192,185,25.8436661
2196,4352,0
2206,4351,0
2210,179,16.7970009
2213,4350,0
2218,177,14.0240002
2219,4349,0
2228,4347,0
2236,4345,0
2241,173,11.1070004
2252,172,6.02899981
2253,172,6.07200003
2259,4337,0
2272,4331,0
2277,167,17.3010006
2283,4325,0
2291,162,18.3810005
2305,157,16.0720005
2310,4306,0
2319,152,16.3549995
2319,4298,0
2320,4297,0
2327,4290,0
2333,147,21.0440006
2335,4281,0
2340,4275,0
2346,143,22.9330006
2357,4249,0
2364,4235,0
2377,4197,0
2379,137,27.8129997
2379,4189,0
2384,4009,0
2384,4165,0
2385,4087,0
2385,4159,0
2386,4051,0
2386,4076,0
2386,4077,0
2386,4150,0
2387,4001,0
2390,3991,0
2392,3983,0
2397,136,24.1609993
2397,3977,0
2398,136,24.1761246
2400,136,23.868
2413,3968,0
2425,123,24.8759995
2425,3960,0
2439,3949,0
2445,113,32.2389984
2455,109,34.2639999
2466,3922,0
2470,104,36.4410019
2474,3918,0
2482,101,36.7340012
2487,3912,0
2489,3911,0
2495,3908,0
2506,3902,0
2521,2459,0
2531,2445,0
2538,2434,0
2542,2427,0
2549,3893,0
2552,2501,0
2555,2408,0
2560,2511,0
2563,2408,0
2564,2408,0
2573,3893,0
2585,3892,0
2592,2561,0
2593,3891,0
2596,2472,17.6569996
2599,3890,0
2603,2589,0
2613,2654,0
2613,2655,0
2613,3887,0
2617,3886,0
2623,122,36.9280014
2624,3884,0
2628,2677,32.387001
2635,2679,37.269001
2641,3419,0
2646,3876,0
2648,2683,39.7910004
2655,3394,0
2656,2686,39.0139999
2662,3384,0
2666,3378,0
2670,3864,0
2671,3370,0
2672,2553,0
2674,3365,0
2678,3358,0
2681,2558,0
2687,3340,0
2687,3853,0
2689,2562,0
2694,3323,0
2695,3496,0
2695,3847,0
2698,3312,0
2702,3299,0
2703,3295,0
2704,3291,0
2707,3193,0
2707,3276,0
2708,3171,0
2708,3270,0
2709,3162,0
2710,3237,0
2710,3238,0
2710,3239,0
2710,3240,0
2711,3145,0
